work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024,SE,FT,Data Scientist,25000,GBP,31250,GB,0,GB,M
2024,SE,FT,Machine Learning Engineer,173000,USD,173000,CA,100,CA,M
2024,SE,FT,Machine Learning Engineer,108000,USD,108000,CA,100,CA,M
2024,EN,FT,Data Analyst,144000,USD,144000,US,100,US,M
2024,EN,FT,Data Analyst,81000,USD,81000,US,100,US,M
2024,SE,FT,Data Analyst,110000,USD,110000,US,100,US,M
2024,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M
2024,SE,FT,Data Scientist,230300,USD,230300,US,0,US,M
2024,SE,FT,Data Scientist,114700,USD,114700,US,0,US,M
2024,SE,FT,Machine Learning Engineer,245400,USD,245400,US,0,US,M
2024,SE,FT,Machine Learning Engineer,139000,USD,139000,US,0,US,M
2024,SE,FT,Data Analyst,108334,USD,108334,US,0,US,M
2024,SE,FT,Data Analyst,59923,USD,59923,US,0,US,M
2024,SE,FT,Data Scientist,249000,USD,249000,US,0,US,M
2024,SE,FT,Data Scientist,216000,USD,216000,US,0,US,M
2024,SE,FT,Data Engineer,241000,USD,241000,US,100,US,M
2024,SE,FT,Data Engineer,172000,USD,172000,US,100,US,M
2024,MI,FT,Machine Learning Engineer,223600,USD,223600,US,0,US,L
2024,MI,FT,Machine Learning Engineer,115000,USD,115000,US,0,US,L
2024,MI,FT,Data Engineer,175000,USD,175000,CA,100,CA,M
2024,MI,FT,Data Engineer,100000,USD,100000,CA,100,CA,M
2024,SE,FT,Machine Learning Engineer,75000,USD,75000,IN,100,IN,M
2024,SE,FT,Machine Learning Engineer,55000,USD,55000,IN,100,IN,M
2024,SE,FT,Data Analyst,150000,USD,150000,US,100,US,M
2024,SE,FT,Data Analyst,120000,USD,120000,US,100,US,M
2024,SE,FT,Data Engineer,235000,USD,235000,US,100,US,M
2024,SE,FT,Data Engineer,210000,USD,210000,US,100,US,M
2024,SE,FT,Machine Learning Engineer,270400,USD,270400,US,0,US,M
2024,SE,FT,Machine Learning Engineer,145600,USD,145600,US,0,US,M
2024,EN,FT,Data Scientist,137000,USD,137000,US,0,US,M
2024,EN,FT,Data Scientist,60400,USD,60400,US,0,US,M
2024,MI,FT,Machine Learning Engineer,158100,USD,158100,US,0,US,M
2024,MI,FT,Machine Learning Engineer,138500,USD,138500,US,0,US,M
2024,SE,FT,Machine Learning Engineer,188500,USD,188500,US,0,US,M
2024,SE,FT,Machine Learning Engineer,165100,USD,165100,US,0,US,M
2024,SE,FT,Machine Learning Engineer,250000,USD,250000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,180000,USD,180000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,160000,USD,160000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,130000,USD,130000,US,0,US,M
2024,SE,FT,Data Engineer,115000,USD,115000,US,100,US,M
2024,SE,FT,Data Engineer,100500,USD,100500,US,100,US,M
2024,SE,FT,Data Engineer,185000,USD,185000,US,0,US,M
2024,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M
2024,SE,FT,Data Analyst,172000,USD,172000,US,0,US,M
2024,SE,FT,Data Analyst,101000,USD,101000,US,0,US,M
2024,MI,FT,Data Engineer,145000,USD,145000,US,0,US,M
2024,MI,FT,Data Engineer,95000,USD,95000,US,0,US,M
2024,SE,FT,Data Analyst,165000,USD,165000,US,100,US,M
2024,SE,FT,Data Scientist,267900,USD,267900,US,0,US,M
2024,SE,FT,Data Scientist,234700,USD,234700,US,0,US,M
2024,EN,FT,Data Analyst,170000,USD,170000,US,0,US,M
2024,EN,FT,Data Analyst,140000,USD,140000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,297000,USD,297000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,168300,USD,168300,US,0,US,M
2024,MI,FT,Data Scientist,110000,USD,110000,US,0,US,M
2024,MI,FT,Data Scientist,92000,USD,92000,US,0,US,M
2024,SE,FT,Data Scientist,200000,USD,200000,US,0,US,M
2024,SE,FT,Data Scientist,172750,USD,172750,US,0,US,M
2024,EN,FT,Data Analyst,52000,GBP,65000,GB,0,GB,M
2024,EN,FT,Data Analyst,45000,GBP,56250,GB,0,GB,M
2024,EN,FT,Data Analyst,122000,USD,122000,US,0,US,M
2024,EN,FT,Data Analyst,94000,USD,94000,US,0,US,M
2024,SE,FT,Data Engineer,250000,USD,250000,US,0,US,M
2024,SE,FT,Data Engineer,141500,USD,141500,US,0,US,M
2024,SE,FT,Data Engineer,209362,USD,209362,US,100,US,M
2024,SE,FT,Data Engineer,182054,USD,182054,US,100,US,M
2024,SE,FT,Data Scientist,226500,USD,226500,US,100,US,M
2024,SE,FT,Data Scientist,110900,USD,110900,US,100,US,M
2024,EN,FT,Data Analyst,82402,USD,82402,US,0,US,M
2024,EN,FT,Data Analyst,48508,USD,48508,US,0,US,M
2024,SE,FT,Data Engineer,130500,USD,130500,US,0,US,M
2024,SE,FT,Data Engineer,96000,USD,96000,US,0,US,M
2024,SE,FT,Data Engineer,150000,USD,150000,US,0,US,M
2024,SE,FT,Data Engineer,130000,USD,130000,US,0,US,M
2024,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M
2024,SE,FT,Data Engineer,90000,USD,90000,US,100,US,M
2024,SE,FT,Data Scientist,60000,EUR,66666,ES,0,ES,M
2024,SE,FT,Data Scientist,38000,EUR,42222,ES,0,ES,M
2024,MI,FT,Machine Learning Engineer,245400,USD,245400,US,0,US,M
2024,MI,FT,Machine Learning Engineer,139000,USD,139000,US,0,US,M
2024,MI,FT,Data Scientist,200000,USD,200000,US,0,US,M
2024,MI,FT,Data Scientist,140000,USD,140000,US,0,US,M
2024,EN,FT,Data Analyst,90000,USD,90000,US,0,US,M
2024,EN,FT,Data Analyst,75000,USD,75000,US,0,US,M
2024,SE,FT,Data Scientist,180000,USD,180000,US,0,US,M
2024,SE,FT,Data Scientist,162000,USD,162000,US,0,US,M
2024,EN,FT,Data Analyst,75000,USD,75000,US,100,US,M
2024,EN,FT,Data Analyst,47500,USD,47500,US,100,US,M
2024,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M
2024,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,250000,USD,250000,US,100,US,M
2024,SE,FT,Machine Learning Engineer,185000,USD,185000,US,100,US,M
2024,SE,FT,Machine Learning Engineer,245400,USD,245400,US,0,US,M
2024,SE,FT,Machine Learning Engineer,139000,USD,139000,US,0,US,M
2024,SE,FT,Data Engineer,250000,USD,250000,US,100,US,M
2024,SE,FT,Data Engineer,185000,USD,185000,US,100,US,M
2024,SE,FT,Machine Learning Engineer,270000,USD,270000,US,100,US,M
2024,SE,FT,Machine Learning Engineer,229500,USD,229500,US,100,US,M
2024,SE,FT,Data Analyst,144538,USD,144538,US,0,US,M
2024,SE,FT,Data Analyst,96358,USD,96358,US,0,US,M
2024,MI,FT,Data Engineer,30000,GBP,37500,GB,0,GB,M
2024,MI,FT,Data Engineer,27000,GBP,33750,GB,0,GB,M
2024,MI,FT,Data Scientist,130000,USD,130000,US,0,US,M
2024,MI,FT,Data Scientist,100000,USD,100000,US,0,US,M
2024,EN,FT,Data Analyst,77280,USD,77280,US,0,US,M
2024,EN,FT,Data Analyst,58000,USD,58000,US,0,US,M
2024,SE,FT,Data Scientist,264846,USD,264846,US,0,US,M
2024,SE,FT,Data Scientist,143060,USD,143060,US,0,US,M
2024,MI,FT,Data Scientist,172000,USD,172000,US,0,US,M
2024,MI,FT,Data Scientist,75600,USD,75600,US,0,US,M
2024,MI,FT,Data Scientist,158100,USD,158100,US,0,US,M
2024,MI,FT,Data Scientist,138500,USD,138500,US,0,US,M
2024,SE,FT,Data Scientist,283800,USD,283800,US,0,US,M
2024,SE,FT,Data Scientist,234700,USD,234700,US,0,US,M
2024,EN,FT,Data Analyst,198000,USD,198000,US,0,US,M
2024,EN,FT,Data Analyst,144000,USD,144000,US,0,US,M
2024,SE,FT,Data Engineer,220000,USD,220000,US,0,US,M
2024,SE,FT,Data Engineer,96600,USD,96600,US,0,US,M
2024,SE,FT,Data Analyst,118000,USD,118000,US,0,US,M
2024,SE,FT,Data Analyst,100000,USD,100000,US,0,US,M
2024,MI,FT,Data Scientist,162819,USD,162819,US,100,US,M
2024,MI,FT,Data Scientist,95776,USD,95776,US,100,US,M
2024,EN,FT,Data Analyst,93100,USD,93100,US,0,US,M
2024,EN,FT,Data Analyst,60000,USD,60000,US,0,US,M
2024,MI,FT,Data Engineer,135000,USD,135000,US,0,US,M
2024,MI,FT,Data Engineer,100000,USD,100000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,190000,USD,190000,US,100,US,M
2024,SE,FT,Machine Learning Engineer,140000,USD,140000,US,100,US,M
2024,SE,FT,Data Scientist,171210,USD,171210,CA,0,CA,M
2024,SE,FT,Data Scientist,92190,USD,92190,CA,0,CA,M
2024,MI,FT,Data Scientist,177250,USD,177250,US,0,US,M
2024,MI,FT,Data Scientist,125500,USD,125500,US,0,US,M
2024,SE,FT,Data Engineer,139500,USD,139500,CA,0,CA,M
2024,SE,FT,Data Engineer,90000,USD,90000,CA,0,CA,M
2024,SE,FT,Data Engineer,140000,USD,140000,US,100,US,M
2024,SE,FT,Data Engineer,55000,USD,55000,US,100,US,M
2024,EN,FT,Data Analyst,67095,USD,67095,US,0,US,M
2024,EN,FT,Data Analyst,51120,USD,51120,US,0,US,M
2024,SE,FT,Data Analyst,150700,USD,150700,US,0,US,M
2024,SE,FT,Data Analyst,87400,USD,87400,US,0,US,M
2024,EN,FT,Data Analyst,80000,USD,80000,US,0,US,M
2024,EN,FT,Data Analyst,75000,USD,75000,US,0,US,M
2024,SE,FT,Data Engineer,180000,USD,180000,US,100,US,M
2024,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M
2024,SE,FT,Data Engineer,213580,USD,213580,US,100,US,M
2024,SE,FT,Data Engineer,173000,USD,173000,US,100,US,M
2024,SE,FT,Data Engineer,159550,USD,159550,US,0,US,M
2024,SE,FT,Data Engineer,113000,USD,113000,US,0,US,M
2024,SE,FT,Data Analyst,200000,USD,200000,US,100,US,M
2024,SE,FT,Data Analyst,168000,USD,168000,US,100,US,M
2024,EN,FT,Data Analyst,100000,USD,100000,US,0,US,M
2024,EN,FT,Data Analyst,64000,USD,64000,US,0,US,M
2024,EN,FT,Data Analyst,124650,USD,124650,US,0,US,M
2024,EN,FT,Data Analyst,88200,USD,88200,US,0,US,M
2024,SE,FT,Data Analyst,180000,USD,180000,US,100,US,M
2024,SE,FT,Data Analyst,140000,USD,140000,US,100,US,M
2024,SE,FT,Data Analyst,150000,USD,150000,US,0,US,M
2024,SE,FT,Data Analyst,130000,USD,130000,US,0,US,M
2024,SE,FT,Data Engineer,173300,USD,173300,US,0,US,M
2024,SE,FT,Data Engineer,98800,USD,98800,US,0,US,M
2024,SE,FT,Data Analyst,204650,USD,204650,US,100,US,M
2024,SE,FT,Data Analyst,123990,USD,123990,US,100,US,M
2024,MI,FT,Data Scientist,137930,USD,137930,CA,0,CA,M
2024,MI,FT,Data Scientist,74270,USD,74270,CA,0,CA,M
2024,EN,FT,Data Analyst,106000,USD,106000,US,0,US,M
2024,EN,FT,Data Analyst,66000,USD,66000,US,0,US,M
2024,MI,FT,Data Analyst,95000,USD,95000,US,0,US,M
2024,MI,FT,Data Analyst,75000,USD,75000,US,0,US,M
2024,SE,FT,Data Scientist,194000,USD,194000,US,0,US,M
2024,SE,FT,Data Scientist,122000,USD,122000,US,0,US,M
2024,EX,FT,Data Analyst,125000,USD,125000,US,0,US,M
2024,EX,FT,Data Analyst,100000,USD,100000,US,0,US,M
2024,EN,FT,Data Scientist,140000,USD,140000,US,0,US,M
2024,EN,FT,Data Scientist,70000,USD,70000,US,0,US,M
2024,SE,FT,Data Scientist,155000,USD,155000,US,100,US,M
2024,SE,FT,Data Scientist,120000,USD,120000,US,100,US,M
2024,SE,FT,Data Engineer,65000,GBP,81250,GB,0,GB,M
2024,SE,FT,Data Engineer,45000,GBP,56250,GB,0,GB,M
2024,SE,FT,Machine Learning Engineer,210100,USD,210100,US,0,US,M
2024,SE,FT,Machine Learning Engineer,210100,USD,210100,US,0,US,M
2024,MI,FT,Data Scientist,149600,USD,149600,US,0,US,M
2024,MI,FT,Data Scientist,90200,USD,90200,US,0,US,M
2024,MI,FT,Data Analyst,83552,USD,83552,US,100,US,M
2024,MI,FT,Data Analyst,49148,USD,49148,US,100,US,M
2024,EN,FT,Data Engineer,47820,EUR,53133,NL,0,NL,M
2024,EN,FT,Data Engineer,34538,EUR,38375,NL,0,NL,M
2024,SE,FT,Data Engineer,223000,USD,223000,US,0,US,M
2024,SE,FT,Data Engineer,190000,USD,190000,US,0,US,M
2024,MI,FT,Data Engineer,116000,USD,116000,US,0,US,M
2024,MI,FT,Data Engineer,97800,USD,97800,US,0,US,M
2024,SE,FT,Data Scientist,174300,USD,174300,US,0,US,M
2024,SE,FT,Data Scientist,145000,USD,145000,US,0,US,M
2024,SE,FT,Data Engineer,52000,EUR,57777,AT,0,AT,M
2024,SE,FT,Data Engineer,43000,EUR,47777,AT,0,AT,M
2024,SE,FT,Data Engineer,175000,USD,175000,US,100,US,M
2024,SE,FT,Data Engineer,161201,USD,161201,US,100,US,M
2024,SE,FT,Data Engineer,202000,USD,202000,US,0,US,M
2024,SE,FT,Data Engineer,180000,USD,180000,US,0,US,M
2024,SE,FT,Data Analyst,148000,USD,148000,US,0,US,M
2024,SE,FT,Data Analyst,125000,USD,125000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,250000,USD,250000,US,100,US,M
2024,SE,FT,Machine Learning Engineer,195000,USD,195000,US,100,US,M
2024,SE,FT,Data Engineer,215000,USD,215000,DE,0,DE,M
2024,SE,FT,Data Engineer,193000,USD,193000,DE,0,DE,M
2024,SE,FT,Data Engineer,223800,USD,223800,US,0,US,M
2024,SE,FT,Data Engineer,172100,USD,172100,US,0,US,M
2024,SE,FT,Data Scientist,210000,USD,210000,US,0,US,M
2024,SE,FT,Data Scientist,160000,USD,160000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,212800,USD,212800,US,100,US,M
2024,SE,FT,Machine Learning Engineer,177300,USD,177300,US,100,US,M
2024,SE,FT,Data Scientist,238000,USD,238000,US,0,US,M
2024,SE,FT,Data Scientist,158000,USD,158000,US,0,US,M
2024,MI,FT,Data Scientist,115000,USD,115000,US,100,US,M
2024,MI,FT,Data Scientist,85000,USD,85000,US,100,US,M
2024,SE,FT,Data Scientist,227900,USD,227900,US,0,US,M
2024,SE,FT,Data Scientist,126600,USD,126600,US,0,US,M
2024,EN,FT,Data Analyst,92700,USD,92700,US,0,US,M
2024,EN,FT,Data Analyst,64900,USD,64900,US,0,US,M
2024,SE,FT,Data Analyst,179000,USD,179000,US,0,US,M
2024,SE,FT,Data Analyst,112000,USD,112000,US,0,US,M
2024,EN,FT,Data Analyst,136000,USD,136000,US,0,US,M
2024,EN,FT,Data Analyst,82000,USD,82000,US,0,US,M
2024,SE,FT,Data Scientist,221550,USD,221550,US,0,US,M
2024,SE,FT,Data Scientist,143850,USD,143850,US,0,US,M
2024,MI,FT,Data Analyst,92000,USD,92000,US,0,US,M
2024,MI,FT,Data Analyst,82000,USD,82000,US,0,US,M
2024,SE,FT,Data Scientist,260940,USD,260940,US,100,US,M
2024,SE,FT,Data Scientist,158130,USD,158130,US,100,US,M
2024,EN,FT,Data Analyst,80000,USD,80000,US,0,US,M
2024,EN,FT,Data Analyst,70000,USD,70000,US,0,US,M
2024,MI,PT,Data Scientist,122328,USD,122328,US,100,US,M
2024,MI,PT,Data Scientist,71958,USD,71958,US,100,US,M
2024,SE,FT,Data Analyst,204650,USD,204650,US,100,US,M
2024,SE,FT,Data Analyst,123990,USD,123990,US,100,US,M
2024,SE,FT,Machine Learning Engineer,75000,GBP,93750,GB,100,GB,M
2024,SE,FT,Machine Learning Engineer,55000,GBP,68750,GB,100,GB,M
2024,SE,FT,Machine Learning Engineer,309000,USD,309000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,142000,USD,142000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,184800,USD,184800,CA,100,CA,M
2024,SE,FT,Machine Learning Engineer,123200,USD,123200,CA,100,CA,M
2024,MI,FT,Data Scientist,95000,GBP,118750,DE,0,DE,M
2024,MI,FT,Data Scientist,75000,GBP,93750,DE,0,DE,M
2024,SE,FT,Data Engineer,105000,USD,105000,US,100,US,M
2024,SE,FT,Data Engineer,75000,USD,75000,US,100,US,M
2024,MI,FT,Machine Learning Engineer,247500,USD,247500,US,0,US,M
2024,MI,FT,Machine Learning Engineer,172200,USD,172200,US,0,US,M
2024,MI,FT,Data Analyst,152300,USD,152300,US,0,US,M
2024,MI,FT,Data Analyst,76200,USD,76200,US,0,US,M
2024,SE,FT,Data Scientist,269000,USD,269000,CA,0,CA,M
2024,SE,FT,Data Scientist,139000,USD,139000,CA,0,CA,M
2024,MI,FT,Data Engineer,214300,USD,214300,US,0,US,M
2024,MI,FT,Data Engineer,108500,USD,108500,US,0,US,M
2024,SE,FT,Machine Learning Engineer,195000,USD,195000,US,100,US,M
2024,SE,FT,Machine Learning Engineer,130000,USD,130000,US,100,US,M
2024,MI,FT,Data Engineer,115000,USD,115000,US,100,US,M
2024,MI,FT,Data Engineer,95000,USD,95000,US,100,US,M
2024,SE,FT,Data Analyst,150000,USD,150000,US,100,US,M
2024,SE,FT,Data Analyst,125000,USD,125000,US,100,US,M
2024,MI,FT,Data Engineer,170000,USD,170000,US,100,US,M
2024,MI,FT,Data Engineer,90000,USD,90000,US,100,US,M
2024,SE,FT,Data Analyst,119900,USD,119900,US,0,US,M
2024,SE,FT,Data Analyst,109000,USD,109000,US,0,US,M
2024,MI,FT,Data Scientist,200000,USD,200000,US,100,US,M
2024,MI,FT,Data Scientist,160000,USD,160000,US,100,US,M
2024,EN,FT,Data Analyst,135000,USD,135000,US,0,US,M
2024,EN,FT,Data Analyst,90000,USD,90000,US,0,US,M
2024,SE,FT,Data Scientist,260000,USD,260000,CA,0,CA,M
2024,SE,FT,Data Scientist,178000,USD,178000,CA,0,CA,M
2024,SE,FT,Data Scientist,4000000,INR,48019,IN,100,IN,L
2024,MI,FT,Data Analyst,89500,USD,89500,US,100,US,M
2024,MI,FT,Data Analyst,65000,USD,65000,US,100,US,M
2024,SE,FT,Data Scientist,179000,USD,179000,US,0,US,M
2024,SE,FT,Data Scientist,112000,USD,112000,US,0,US,M
2024,SE,FT,Data Engineer,235700,USD,235700,US,0,US,M
2024,SE,FT,Data Engineer,124400,USD,124400,US,0,US,M
2024,MI,FT,Data Engineer,144200,USD,144200,US,0,US,M
2024,MI,FT,Data Engineer,72100,USD,72100,US,0,US,M
2024,MI,FT,Data Scientist,212000,USD,212000,US,0,US,M
2024,MI,FT,Data Scientist,93300,USD,93300,US,0,US,M
2024,MI,FT,Data Scientist,149925,USD,149925,US,0,US,M
2024,MI,FT,Data Scientist,91260,USD,91260,US,0,US,M
2024,SE,FT,Data Scientist,212000,USD,212000,US,0,US,M
2024,SE,FT,Data Scientist,93300,USD,93300,US,0,US,M
2024,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M
2024,SE,FT,Data Scientist,160000,USD,160000,US,0,US,M
2024,SE,FT,Data Engineer,193200,USD,193200,US,0,US,M
2024,SE,FT,Data Engineer,154560,USD,154560,US,0,US,M
2024,SE,FT,Machine Learning Engineer,277200,USD,277200,US,0,US,M
2024,SE,FT,Machine Learning Engineer,151600,USD,151600,US,0,US,M
2024,SE,FT,Data Scientist,220800,USD,220800,US,100,US,M
2024,SE,FT,Data Scientist,124800,USD,124800,US,100,US,M
2024,SE,FT,Data Scientist,205000,USD,205000,US,0,US,M
2024,SE,FT,Data Scientist,139000,USD,139000,US,0,US,M
2024,SE,FT,Data Scientist,175000,USD,175000,US,0,US,M
2024,SE,FT,Data Scientist,157500,USD,157500,US,0,US,M
2024,SE,FT,Data Analyst,150000,USD,150000,US,100,US,M
2024,SE,FT,Data Analyst,135000,USD,135000,US,100,US,M
2024,EX,FT,Data Engineer,140000,USD,140000,US,0,US,M
2024,EX,FT,Data Engineer,120000,USD,120000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,169200,USD,169200,US,0,US,M
2024,SE,FT,Machine Learning Engineer,130100,USD,130100,US,0,US,M
2024,EX,FT,Data Engineer,150000,USD,150000,US,0,US,M
2024,EX,FT,Data Engineer,120000,USD,120000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,193000,USD,193000,CA,0,CA,M
2024,SE,FT,Machine Learning Engineer,154400,USD,154400,CA,0,CA,M
2024,SE,FT,Data Scientist,200000,USD,200000,US,0,US,M
2024,SE,FT,Data Scientist,180000,USD,180000,US,0,US,M
2024,SE,FT,Data Scientist,209000,USD,209000,US,100,US,M
2024,SE,FT,Data Scientist,145350,USD,145350,US,100,US,M
2024,MI,FT,Data Scientist,212800,USD,212800,US,0,US,L
2024,MI,FT,Data Scientist,111600,USD,111600,US,0,US,L
2024,MI,FT,Data Scientist,196400,USD,196400,US,0,US,M
2024,MI,FT,Data Scientist,174117,USD,174117,US,0,US,M
2024,EN,FT,Data Analyst,110000,USD,110000,US,0,US,M
2024,EN,FT,Data Analyst,80000,USD,80000,US,0,US,M
2024,EX,FT,Machine Learning Engineer,408500,USD,408500,US,0,US,M
2024,EX,FT,Machine Learning Engineer,233500,USD,233500,US,0,US,M
2024,SE,FT,Data Engineer,238000,USD,238000,US,0,US,M
2024,SE,FT,Data Engineer,158000,USD,158000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,254000,USD,254000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,200000,USD,200000,US,0,US,M
2024,EN,FT,Machine Learning Engineer,108806,USD,108806,US,0,US,M
2024,EN,FT,Machine Learning Engineer,82909,USD,82909,US,0,US,M
2024,SE,FT,Data Engineer,185000,USD,185000,US,0,US,M
2024,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M
2024,SE,FT,Data Analyst,198000,USD,198000,US,0,US,M
2024,SE,FT,Data Analyst,108000,USD,108000,US,0,US,M
2024,SE,FT,Data Scientist,245000,USD,245000,US,0,US,M
2024,SE,FT,Data Scientist,185000,USD,185000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,254000,USD,254000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,204000,USD,204000,US,0,US,M
2024,MI,FT,Data Scientist,155000,USD,155000,US,0,US,M
2024,MI,FT,Data Scientist,139000,USD,139000,US,0,US,M
2024,SE,FT,Data Engineer,300000,USD,300000,US,0,US,M
2024,SE,FT,Data Engineer,244000,USD,244000,US,0,US,M
2024,SE,FT,Data Scientist,285200,USD,285200,US,100,US,M
2024,SE,FT,Data Scientist,168600,USD,168600,US,100,US,M
2024,SE,FT,Machine Learning Engineer,221000,USD,221000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,185000,USD,185000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,184800,USD,184800,CA,100,CA,M
2024,SE,FT,Machine Learning Engineer,123200,USD,123200,CA,100,CA,M
2024,SE,FT,Data Engineer,221000,USD,221000,US,0,US,M
2024,SE,FT,Data Engineer,185000,USD,185000,US,0,US,M
2024,MI,FT,Data Scientist,135000,USD,135000,US,0,US,M
2024,MI,FT,Data Scientist,110000,USD,110000,US,0,US,M
2024,SE,FT,Data Engineer,222200,USD,222200,US,0,US,M
2024,SE,FT,Data Engineer,150900,USD,150900,US,0,US,M
2024,SE,FT,Data Scientist,202800,USD,202800,US,0,US,M
2024,SE,FT,Data Scientist,115000,USD,115000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,254000,USD,254000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,204000,USD,204000,US,0,US,M
2024,SE,FT,Data Scientist,155000,USD,155000,US,0,US,M
2024,SE,FT,Data Scientist,139500,USD,139500,US,0,US,M
2024,EN,FT,Data Analyst,71250,USD,71250,US,100,US,M
2024,EN,FT,Data Analyst,57000,USD,57000,US,100,US,M
2024,SE,FT,Data Engineer,200000,USD,200000,US,0,US,M
2024,SE,FT,Data Engineer,180000,USD,180000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,159550,USD,159550,US,0,US,M
2024,SE,FT,Machine Learning Engineer,113000,USD,113000,US,0,US,M
2024,SE,FT,Data Scientist,225000,USD,225000,US,0,US,M
2024,SE,FT,Data Scientist,175000,USD,175000,US,0,US,M
2024,MI,FT,Data Engineer,130000,USD,130000,US,100,US,M
2024,MI,FT,Data Engineer,100000,USD,100000,US,100,US,M
2024,SE,FT,Data Scientist,170000,USD,170000,US,100,US,M
2024,SE,FT,Data Scientist,150000,USD,150000,US,100,US,M
2024,SE,FT,Data Scientist,226500,USD,226500,US,100,US,M
2024,SE,FT,Data Scientist,110900,USD,110900,US,100,US,M
2024,MI,FT,Machine Learning Engineer,250900,USD,250900,US,0,US,M
2024,MI,FT,Machine Learning Engineer,135200,USD,135200,US,0,US,M
2024,MI,FT,Data Engineer,140000,USD,140000,CA,0,CA,M
2024,MI,FT,Data Engineer,65000,USD,65000,CA,0,CA,M
2024,SE,FT,Data Scientist,185000,USD,185000,US,0,US,M
2024,SE,FT,Data Scientist,100200,USD,100200,US,0,US,M
2024,SE,FT,Data Engineer,200000,USD,200000,US,0,US,M
